name,country,status,n_stations,station_type,n_capacity_nan,n_capacity_zero,capacity_median,capacity_unique_values,A1_n_stations,A1_share_pct,A3_n_stations,A3_share_pct,A4_n_stations,A4_share_pct,A2_flagged,A5_flagged,A6_flagged,A7_flagged,url,elapsed_s
Dott Wels,AT,ok,47.0,free_floating,47.0,0.0,,0.0,0.0,0.0,47.0,100.0,0.0,0.0,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/wels/gbfs.json,0.2
EVENTbike - Austria,AT,ok,21.0,docked_bike,21.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,14.29,False,False,False,True,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_eq/gbfs.json,0.4
Getaround Graz,AT,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/graz/gbfs,0.2
Getaround Innsbruck,AT,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/innsbruck/gbfs,0.2
nextbike Klagenfurt Austria,AT,ok,50.0,docked_bike,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,6.0,12.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ka/gbfs.json,0.4
nextbike Niederösterreich,AT,ok,245.0,docked_bike,235.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,19.0,7.76,False,False,False,True,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_la/gbfs.json,0.5
Stadtrad Innsbruck Austria,AT,ok,55.0,docked_bike,0.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,3.0,5.45,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_si/gbfs.json,0.4
VVT REGIORAD Tirol,AT,ok,21.0,docked_bike,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_vt/gbfs.json,0.3
WienMobil Rad,AT,ok,258.0,docked_bike,62.0,0.0,20.0,35.0,0.0,0.0,0.0,0.0,16.0,6.2,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_wr/gbfs.json,0.5
BL bike,BA,too_small_below_Nmin,5.0,,,,,,,,,,,,,,,,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bj/gbfs.json,0.3
nextbike BIH,BA,ok,38.0,docked_bike,38.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.63,False,False,False,True,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ba/gbfs.json,0.4
Zenica,BA,too_small_below_Nmin,15.0,,,,,,,,,,,,,,,,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bz/gbfs.json,0.4
Bird Antwerp,BE,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/antwerp/gbfs.json,0.7
Blue-bike,BE,ok,276.0,docked_bike,0.0,2.0,8.0,44.0,0.0,0.0,0.0,0.0,17.0,6.16,False,False,False,False,https://api.delijn.be/gbfs/gbfs.json,0.3
Bolt Technology OÜ,BE,ok,2558.0,free_floating,2557.0,0.0,4.0,1.0,0.0,0.0,2558.0,100.0,0.0,0.0,False,False,False,True,https://mds.bolt.eu/gbfs/3/336/gbfs,0.9
Donkey Republic Antwerp,BE,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/donkey_antwerp/gbfs.json,0.6
Donkey Republic Ghent,BE,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/donkey_gh/gbfs.json,0.6
Donkey Republic Kortrijk & Leiedal,BE,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/donkey_kortrijk_leiedal/gbfs,0.6
Donkey Republic Westhoek,BE,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/donkey_westhoek/gbfs.json,0.6
Dott Aalst,BE,ok,205.0,free_floating,205.0,0.0,,0.0,0.0,0.0,205.0,100.0,3.0,1.46,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/aalst/gbfs.json,0.3
Dott Brussels,BE,ok,2476.0,free_floating,2476.0,0.0,,0.0,0.0,0.0,2476.0,100.0,0.0,0.0,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/brussels/gbfs.json,0.5
Dott Charleroi,BE,ok,1078.0,free_floating,1078.0,0.0,,0.0,0.0,0.0,1078.0,100.0,0.0,0.0,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/charleroi/gbfs.json,0.3
Dott Ghent,BE,ok,3211.0,free_floating,3211.0,0.0,,0.0,0.0,0.0,3211.0,100.0,2.0,0.06,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/ghent/gbfs.json,0.5
Dott Kortrijk,BE,ok,205.0,free_floating,205.0,0.0,,0.0,0.0,0.0,205.0,100.0,3.0,1.46,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/kortrijk/gbfs.json,0.3
Dott Liege,BE,ok,922.0,free_floating,922.0,0.0,,0.0,0.0,0.0,922.0,100.0,0.0,0.0,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/liege/gbfs.json,0.3
Felyx Antwerp,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://maas.zeus.cooltra.com/gbfs/antwerp/3.0/en/gbfs.json,0.1
Felyx Brussels,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://maas.zeus.cooltra.com/gbfs/brussels/3.0/en/gbfs.json,0.1
Getaround Aalst,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/aalst/gbfs,0.2
Getaround Antwerpen,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/antwerpen/gbfs,0.2
Getaround Beaumont,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/beaumont/gbfs,0.2
Getaround Charleroi,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/charleroi/gbfs,0.5
Getaround Essen,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/essen/gbfs,0.2
Getaround Gent,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/gent/gbfs,0.2
Getaround Hove,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/hove/gbfs,0.2
Getaround Leuven,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/leuven/gbfs,0.2
Getaround Lille,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/lille/gbfs,0.2
Getaround Mechelen,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/mechelen/gbfs,0.2
Getaround Seraing,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/seraing/gbfs,0.2
Getaround Waterloo,BE,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://getaround.com/gbfs/v3/waterloo/gbfs,0.2
Li Bia Velo,BE,ok,27.0,docked_bike,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://api.cyclocity.fr/contracts/namur/gbfs/v3/gbfs.json,0.3
Lime Antwerp,BE,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://data.lime.bike/api/partners/v2/gbfs/antwerp/gbfs.json,0.1
Lime Brussels,BE,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://data.lime.bike/api/partners/v2/gbfs/brussels/gbfs.json,0.1
nextbike BE Vlaamse Rand,BE,ok,57.0,docked_bike,57.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.75,False,False,False,True,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_hf/gbfs.json,0.5
Pony Brussels,BE,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://gbfs.getapony.com/v1/brussels/en/gbfs.json?key=AIzaSyBMkR2fCYvZZC22Ls5A5wJQRwDERao07Nc,0.2
Pony Charleroi,BE,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://gbfs.getapony.com/v1/charleroi/en/gbfs.json?key=AIzaSyBMkR2fCYvZZC22Ls5A5wJQRwDERao07Nc,0.1
Pony Liège,BE,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://gbfs.getapony.com/v1/liege/en/gbfs.json?key=AIzaSyBMkR2fCYvZZC22Ls5A5wJQRwDERao07Nc,0.1
Velo Antwerpen,BE,ok,321.0,docked_bike,0.0,0.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.smartbike.com/antwerp/1.0/gbfs.json,0.4
Villo,BE,ok,349.0,docked_bike,0.0,1.0,25.0,31.0,0.0,0.0,0.0,0.0,1.0,0.29,False,False,False,False,https://api.cyclocity.fr/contracts/bruxelles/gbfs/v3/gbfs.json,0.5
VOI Antwerp,BE,ok,2777.0,free_floating,2742.0,0.0,3.0,2.0,0.0,0.0,2777.0,100.0,1.0,0.04,False,False,False,True,https://api.voiapp.io/gbfs/be/7a4cb689-a2ee-409d-a5fe-49d2e8d50717/v2/gbfs.json,0.4
Bike Brasilia,BR,ok,70.0,docked_bike,0.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://brasilia.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.1
Bike Estácio,BR,ok,51.0,docked_bike,0.0,1.0,15.0,11.0,0.0,0.0,0.0,0.0,3.0,5.88,False,False,True,False,https://curitiba.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.6
Bike Itaú - Pernambuco,BR,ok,90.0,docked_bike,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,6.0,6.67,False,False,False,False,https://recife.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,3.6
Bike Itaú - Rio,BR,ok,405.0,docked_bike,0.0,0.0,16.0,19.0,0.0,0.0,0.0,0.0,4.0,0.99,False,False,False,False,https://riodejaneiro.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,19.7
Bike Itaú - Salvador,BR,ok,74.0,docked_bike,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,2.0,2.7,False,False,False,False,https://salvador.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.9
Bike Itaú - Sampa,BR,ok,240.0,docked_bike,0.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0,1.0,0.42,False,False,False,False,https://saopaulo.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.2
Bike Porto Alegre,BR,ok,90.0,docked_bike,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://portoalegre.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.7
Rivi Bike,BR,too_small_below_Nmin,7.0,,,,,,,,,,,,,,,,https://riviera.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.3
Accès Vélo,CA,too_small_below_Nmin,18.0,,,,,,,,,,,,,,,,https://saguenay.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.6
àVélo,CA,ok,226.0,docked_bike,0.0,6.0,20.0,19.0,0.0,0.0,0.0,0.0,2.0,0.88,False,True,True,False,https://quebec.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.0
Bike Share Toronto,CA,ok,1033.0,docked_bike,0.0,0.0,17.0,47.0,0.0,0.0,0.0,0.0,21.0,2.03,False,False,False,False,https://toronto.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.4
Bird Calgary,CA,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/calgary/gbfs.json,0.5
Bird Edmonton,CA,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/edmonton/gbfs.json,0.4
Bird Halifax,CA,ok,620.0,free_floating,620.0,0.0,,0.0,0.0,0.0,620.0,100.0,0.0,0.0,False,False,False,True,https://mds.bird.co/gbfs/v2/public/halifax/gbfs.json,1.1
Bird Hamilton,CA,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/hamilton/gbfs.json,0.4
Bird Leduc,CA,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/leduc/gbfs.json,0.7
Bird Ottawa,CA,ok,566.0,free_floating,566.0,0.0,,0.0,0.0,0.0,566.0,100.0,0.0,0.0,False,False,False,True,https://mds.bird.co/gbfs/v2/public/ottawa/gbfs.json,0.9
Bird Saskatoon,CA,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/saskatoon/gbfs.json,0.7
Bird Vaughan,CA,ok,466.0,free_floating,466.0,0.0,,0.0,0.0,0.0,466.0,100.0,0.0,0.0,False,False,False,True,https://mds.bird.co/gbfs/v2/public/vaughan/gbfs.json,1.1
BIXI Montréal,CA,ok,1059.0,docked_bike,0.0,1.0,21.0,44.0,0.0,0.0,0.0,0.0,43.0,4.06,False,True,False,False,https://gbfs.velobixi.com/gbfs/gbfs.json,2.7
Lime Calgary,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://data.lime.bike/api/partners/v2/gbfs/calgary/gbfs.json,0.1
Lime Edmonton,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://data.lime.bike/api/partners/v2/gbfs/edmonton/gbfs.json,0.1
Lime Kelowna,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://data.lime.bike/api/partners/v2/gbfs/kelowna/gbfs.json,0.1
Lime Mississauga,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://data.lime.bike/api/partners/v2/gbfs/mississauga/gbfs.json,0.1
Lime Ottawa,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://data.lime.bike/api/partners/v2/gbfs/ottawa/gbfs.json,0.1
Lime Vancouver,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://data.lime.bike/api/partners/v2/gbfs/vancouver_bc/gbfs.json,0.1
LocoMotion Montreal,CA,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://locomotion.app/api/gbfs/3.0/montreal/gbfs,0.4
LocoMotion Sherbrooke,CA,fetch_error: LookupError,,,,,,,,,,,,,,,,,https://locomotion.app/api/gbfs/3.0/sherbrooke/gbfs,0.3
Mobi Bike Share,CA,ok,262.0,docked_bike,0.0,2.0,18.0,21.0,0.0,0.0,0.0,0.0,3.0,1.15,False,False,False,False,https://gbfs.kappa.fifteen.eu/gbfs/2.2/mobi/en/gbfs.json,2.6
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/ard/gbfs/2/,0.4
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/bmt/gbfs/2/,0.4
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/yyc/gbfs/2/,0.4
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/yeg/gbfs/2/,0.4
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/kcw/gbfs/2/,0.4
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/yql/gbfs/2/,0.4
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/yow/gbfs/2/,0.4
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/yqf/gbfs/2/,0.4
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/yqr/gbfs/2/,0.4
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/yxe/gbfs/2/,0.4
Neuron Mobility,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/yve/gbfs/2/,0.4
Neuron Oshawa,CA,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://mds.neuron-mobility.com/yoo/gbfs/2/,0.4
PBSC HQ,CA,too_small_below_Nmin,11.0,,,,,,,,,,,,,,,,https://pbsn.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.6
Sobi Hamilton,CA,ok,199.0,docked_bike,199.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.01,False,False,False,True,https://hamilton.socialbicycles.com/opendata/gbfs.json,1.4
2EM Car Sharing,CH,ok,1741.0,carsharing,1741.0,0.0,,0.0,1741.0,100.0,0.0,0.0,254.0,14.59,False,True,False,True,https://api.mobidata-bw.de/sharing/gbfs/v3/zem_ch/gbfs,0.5
Bird Basel,CH,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/basel/gbfs.json,0.4
Bird Biel,CH,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/biel/gbfs.json,0.7
Bird Bulle,CH,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/bulle/gbfs.json,0.7
Bird Grenchen,CH,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/grenchen/gbfs.json,0.4
Bird Kloten,CH,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/kloten/gbfs.json,0.7
Bird Schaffhausen,CH,ok,88.0,free_floating,88.0,0.0,,0.0,0.0,0.0,88.0,100.0,1.0,1.14,False,False,False,True,https://mds.bird.co/gbfs/v2/public/schaffhausen/gbfs.json,0.8
Bird Uster,CH,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/uster/gbfs.json,0.7
Bird Winterthur,CH,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/winterthur/gbfs.json,0.7
Bird Zurich,CH,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/zurich/gbfs.json,0.4
Bolt Technology OÜ,CH,too_small_below_Nmin,2.0,,,,,,,,,,,,,,,,https://api.mobidata-bw.de/sharing/gbfs/v3/bolt_basel/gbfs,0.2
Bolt Technology OÜ,CH,ok,54.0,free_floating,51.0,0.0,6.0,2.0,0.0,0.0,54.0,100.0,4.0,7.41,False,False,False,True,https://api.mobidata-bw.de/sharing/gbfs/v3/bolt_zurich/gbfs,0.3
Car-ship,CH,too_small_below_Nmin,18.0,,,,,,,,,,,,,,,,https://api.mobidata-bw.de/sharing/gbfs/v3/car_ship/gbfs,0.2
carvelo eCargo-Bike Sharing,CH,ok,315.0,docked_bike,315.0,0.0,,0.0,0.0,0.0,0.0,0.0,60.0,19.05,False,True,False,True,https://api.mobidata-bw.de/sharing/gbfs/v3/carvelo2go_ch/gbfs,0.4
Donkey EPFL - Lausanne,CH,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/epfl_lausanne/gbfs.json,0.6
Donkey Republic Geneva,CH,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/donkey_ge/gbfs.json,0.6
Donkey Republic Kreuzlingen,CH,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/donkey_kreuzlingen/gbfs.json,0.6
Donkey Republic Neuchâtel,CH,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/donkey_neuchatel/gbfs.json,0.6
Donkey Republic Sion,CH,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/donkey_sion/gbfs.json,0.6
Donkey Republic Thun,CH,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/donkey_thun/gbfs.json,0.5
Donkey Republic Yverdon-les-Bains,CH,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://stables.donkey.bike/api/public/gbfs/3.0/donkey_yverdon-les-bains/gbfs.json,0.5
Dott Basel,CH,ok,34.0,free_floating,34.0,0.0,,0.0,0.0,0.0,34.0,100.0,1.0,2.94,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/basel/gbfs.json,3.8
Dott Romanshorn,CH,ok,209.0,free_floating,209.0,0.0,,0.0,0.0,0.0,209.0,100.0,9.0,4.31,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/romanshorn/gbfs.json,0.2
Dott Rorschach,CH,ok,137.0,free_floating,137.0,0.0,,0.0,0.0,0.0,137.0,100.0,1.0,0.73,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/rorschach/gbfs.json,0.2
Dott St. Gallen,CH,ok,131.0,free_floating,131.0,0.0,,0.0,0.0,0.0,131.0,100.0,13.0,9.92,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/st.-gallen/gbfs.json,0.3
Dott Winterthur,CH,ok,205.0,free_floating,205.0,0.0,,0.0,0.0,0.0,205.0,100.0,3.0,1.46,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/winterthur/gbfs.json,0.3
Dott Zurich,CH,ok,77.0,free_floating,77.0,0.0,,0.0,0.0,0.0,77.0,100.0,5.0,6.49,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/zurich/gbfs.json,0.2
